Name,Path,Files
amejiarosario/protractor-video-reporter,,"['.gitignore', '.jshintrc', 'History.md', 'LICENSE', 'index.js', 'lib', 'package.json', 'readme.md']"
razerjon24/ppl,,"['.idea', 'application', 'assets', 'bootstrap', 'cache', 'composer.json', 'config', 'contributing.md', 'controllers', 'core', 'credentialPPL', 'helpers', 'hooks', 'images', 'index.html', 'index.php', 'language', 'libraries', 'license.txt', 'logs', 'maintenance.php', 'models', 'readme.rst', 'system', 'third_party', 'user_guide', 'views']"
Gonzalosanto/ProyectoCanTrou,,"['.gitignore', 'CanTrou']"
jdenisgiguere/osrm-frontend,,"['.eslintignore', '.eslintrc', '.gitignore', 'CNAME', 'LICENSE', 'Makefile', 'README.md', 'bundle.js', 'bundle.js.map', 'bundle.raw.js', 'css', 'debug', 'favicon.ico', 'fonts', 'i18n', 'images', 'index.html', 'package.json', 'src']"
vikram8895963240/vikram,,['README.md']
pegapp/spring-security,,"['.editorconfig', '.github', '.gitignore', '.travis.yml', 'CODE_OF_CONDUCT.adoc', 'CONTRIBUTING.md', 'README.adoc', 'acl', 'aspects', 'bom', 'build.gradle', 'buildSrc', 'cas', 'class_mapping_from_2.0.x.txt', 'config', 'core', 'crypto', 'data', 'docs', 'etc', 'gradle.properties', 'gradle', 'gradlew', 'gradlew.bat', 'itest', 'ldap', 'license.txt', 'messaging', 'notice.txt', 'openid', 'remoting', 'samples', 'sandbox', 'settings.gradle', 'taglibs', 'test', 'web']"
vladpavlovic/oauth2server,,"['composer.json', 'oauth2server.admin.inc', 'oauth2server.drush.inc', 'oauth2server.info', 'oauth2server.install', 'oauth2server.module', 'src']"
Laykou/fiit-vi-2016,,"['Gallay_VI_Zadanie_1.pdf', 'Gallay_VI_Zadanie_1.zip', 'crawler.rb', 'kibana_urls.txt', 'query_1.txt', 'query_2.txt', 'query_4.txt', 'query_4_reindex.txt', 'query_5.txt']"
ccctech/pipeline-plugin,,"['.idea', 'CHANGES.md', 'COMPATIBILITY.md', 'CONTRIBUTING.md', 'DEVGUIDE.md', 'README.md', 'TUTORIAL.md']"
mysefs/jansson,,"['.gitignore', '.travis.yml', 'Android.mk', 'CHANGES', 'CMakeLists.txt', 'CleanSpec.mk', 'LICENSE', 'Makefile.am', 'README.rst', 'android', 'appveyor.yml', 'cmake', 'configure.ac', 'doc', 'examples', 'jansson.pc.in', 'release.sh', 'src', 'test']"
martin-bauer/uebung1,,"['build.xml', 'manifest.mf', 'nbproject', 'src']"
financialintelligence/financialintelligence.github.com,,"['README.md', '_config.yml']"
kensm0924/silver-octo-broccoli,,['README.md']
jjborie/learning-oop-in-php,,"['CONTRIBUTING.md', 'README.md']"
kudlajz/konva,,"['.eslintrc', '.gitignore', '.travis.yml', 'CHANGELOG.md', 'ISSUE_TEMPLATE.md', 'README.md', 'bower.json', 'gulpfile.js', 'konva.d.ts', 'konva.js', 'konva.min.js', 'package.json', 'release.sh', 'resources', 'src', 'test']"
IzaGz/hapi-webpack-plugin,,"['.babelrc', '.editorconfig', '.eslintrc', '.gitattributes', '.gitignore', '.npmignore', 'package.json', 'readme.md', 'src']"
wendelas/HelloXamarinOS,,"['.gitattributes', '.gitignore', 'HelloXamarinOS.sln', 'HelloXamarinOS']"
alexfx1/FirstTrimestreAlexfx1,,"['.gitignore', 'Assets', 'ProjectSettings']"
IinumaD/StrikeGame,,"['.gitattributes', '.gitignore', 'Engine', 'Example', 'Icon.ico', 'Main.cpp', 'Resource.rc', 'StrikeGame.sln', 'StrikeGame.vcxproj', 'StrikeGame.vcxproj.filters']"
Giousa/wire,,"['.buildscript', '.gitignore', '.travis.yml', 'BUG-BOUNTY.md', 'CHANGELOG.md', 'CONTRIBUTING.md', 'LICENSE.txt', 'README.md', 'checkstyle.xml', 'gen_tests.sh', 'pom.xml', 'sample', 'wire-codegen-sample', 'wire-compiler', 'wire-gson-support', 'wire-java-generator', 'wire-maven-plugin', 'wire-runtime', 'wire-schema', 'wire-testing', 'wire-tests']"
MhndMousa/User-Authenticator,,"['GPIOClass.cpp', 'GPIOClass.h', 'README.md', 'log.txt', 'rclub.cpp', 'robotics_members.txt', 'usb-getline.cpp']"
alepulver/xsd-extractor,,"['.gitignore', '.gradle', 'README.md', 'build.gradle', 'gradle', 'gradlew', 'gradlew.bat', 'settings.gradle', 'src']"
jiapeiyang/testgit,,"['b.txt', 'readme.txt', 'test.txt']"
lhp3851/cocos2d-x,,"['.gitattributes', '.gitignore', '.gitmodules', '.travis.yml', 'AUTHORS', 'CHANGELOG', 'CMakeLists.txt', 'CONTRIBUTING.md', 'README.cmake', 'README.md', 'build', 'cmake', 'cocos', 'docs', 'download-deps.py', 'extensions', 'external', 'issue_template.md', 'licenses', 'plugin', 'setup.py', 'templates', 'tests', 'tools', 'web']"
JuneAndGreen/doimg,,"['.gitignore', '.npmignore', 'LICENCE_MIT', 'README.md', 'index.js', 'package-lock.json', 'package.json', 'src', 'test']"
votrongdao/Boostnote,,"['.babelrc', '.eslintignore', '.eslintrc', '.gitignore', '.travis.yml', 'LICENSE', 'appdmg.json', 'browser', 'contributing.md', 'docs', 'gruntfile.js', 'index.js', 'lib', 'package.json', 'readme-ja.md', 'readme.md', 'resources', 'tests', 'webpack-production.config.js', 'webpack-skeleton.js', 'webpack.config.js']"
Aerlinger/yo-react,,"['.babelrc', '.editorconfig', '.eslintrc', '.gitignore', 'Readme.md', 'cfg', 'dist', 'karma.conf.js', 'package.json', 'server.js', 'spec', 'src', 'test', 'webpack.config.js']"
Lusti/skriptimine,,"['praks1', 'praks2', 'praks3', 'praks4', 'praks5', 'praks6', 'praks7']"
utike/MegucoServer,,"['.gitignore', '.gitmodules', 'Ext', 'LICENSE', 'Marefile', 'README.md', 'Src', 'generate', 'generate.bat']"
robesonm93/CamelCaseParser,,['CamelCaseParser.cs']
uziandari/spr,,"['asset-manifest.json', 'index.html', 'static']"
franziskuskiefer/node,,"['.editorconfig', '.eslintignore', '.eslintrc.yaml', '.gitattributes', '.github', '.gitignore', '.mailmap', '.remarkrc', 'AUTHORS', 'BSDmakefile', 'BUILDING.md', 'CHANGELOG.md', 'CODE_OF_CONDUCT.md', 'COLLABORATOR_GUIDE.md', 'CONTRIBUTING.md', 'GOVERNANCE.md', 'LICENSE', 'Makefile', 'README.md', 'ROADMAP.md', 'WORKING_GROUPS.md', 'android-configure', 'benchmark', 'common.gypi', 'configure', 'deps', 'doc', 'lib', 'node.gyp', 'src', 'test', 'tools', 'vcbuild.bat']"
ardakazanci/ttt-6-position-taken-rb-cb-gh-000,,"['.learn', '.rspec', 'Gemfile', 'Gemfile.lock', 'README.md', 'lib', 'spec']"
IINemo/syntaxnet_wrapper,,"['README.md', 'src']"
muriloime/lectures,,"['Lecture 1a - Introduction.pdf', 'Lecture 1b - Deep Neural Networks Are Our Friends.pdf', 'Lecture 2a- Word Level Semantics.pdf', 'Lecture 2b - Overview of the Practicals.pdf', 'Lecture 3 - Language Modelling and RNNs Part 1.pdf', 'Lecture 4 - Language Modelling and RNNs Part 2.pdf', 'README.md']"
azhen32/Picture,,"['.idea', 'Picture.iml', 'pom.xml', 'src']"
TareqElMasri/archivedemusique,,"['MusiqueCoverFeb17.png', 'MusiqueCoverFeb17.psd', 'README.md']"
lianggang145/project,,"['x09tpl', 'z09tpl.sql']"
ljx0305/retrofit,,"['.buildscript', '.github', '.gitignore', '.travis.yml', 'BUG-BOUNTY.md', 'CHANGELOG.md', 'LICENSE.txt', 'README.md', 'checkstyle.xml', 'deploy_website.sh', 'pom.xml', 'retrofit-adapters', 'retrofit-converters', 'retrofit-mock', 'retrofit', 'samples', 'website']"
horusgeo/ApPonto,,"['.gitignore', '.idea', 'app', 'build.gradle', 'gradle.properties', 'gradle', 'gradlew', 'gradlew.bat', 'settings.gradle']"
KarenBreytenbach/mobile,,"['.gitignore', '.travis.yml', 'Dockerfile', 'LICENSE', 'README.md', 'docs', 'index.js', 'lib', 'package.json', 'samples', 'test', 'vendor', 'worker.json']"
