Name,Path,Files
phpdev87/laravel2,,"['.gitattributes', '.gitignore', 'Merlin.jpg', 'admin', 'functions', 'laravel2.php', 'laravel3.php', 'laravel4.php', 'laravel6.php', 'laravel7.php', 'laravel8.php', 'laravel9.php', 'merlin3.jpg', 'metro.jpg', 'papka', 't1.jpg', 't2.jpg', 't3.jpg']"
dgliwa/docs.erisindustries.com,,"['.github', '.gitignore', '.htaccess', '.ruby-gemset', '.ruby-version', 'Gemfile', 'LICENSE', 'README.md', 'Rakefile', '_config_this.yml', 'build.sh', 'circle.yml', 'documentation', 'explainers', 'images', 'index.md', 'keybase.txt', 'tests', 'tutorials']"
nmoehrle/libcacc,,"['LICENSE.txt', 'README.md', 'array.h', 'array_texture.h', 'buffer_texture.h', 'bvh_tree.cu', 'bvh_tree.h', 'defines.h', 'float.h', 'graphics_resource.h', 'image.h', 'kd_tree.cu', 'kd_tree.h', 'math.h', 'matrix.h', 'mesh.h', 'nnsearch.h', 'point_cloud.h', 'primitives.h', 'rays.h', 'reduction.h', 'tracing.h', 'util.h', 'variable.h', 'vector.h', 'vector_array.h']"
glennfu/toastr-rails-sass,,"['.gitmodules', '.ruby-gemset', 'GPL-LICENSE.txt', 'Gemfile', 'Gemfile.lock', 'MIT-LICENSE.txt', 'README.md', 'Rakefile', 'VERSION', 'lib', 'pkg', 'toastr', 'toastr-rails-sass.gemspec', 'vendor']"
bradparks/tips,,"['.doxie.render.js', '.doxie.render.toc.js', '.gitignore', 'LICENSE', 'README.md', 'contributing.md', 'package.json', 'tips.json']"
Sammilin/GolangTraining,,"['.gitignore', '01_getting-started', '02_package', '03_variables', '04_scope', '05_blank-identifier', '06_constants', '07_memory-address', '08_pointers', '09_remainder', '10_for-loop', '11_switch-statements', '12_if_else-if_else', '13_exercise-solutions', '14_functions', '15_bool-expressions', '16_exercise-solutions', '17_array', '18_slice', '19_map', '20_struct', '21_interfaces', '22_go-routines', '23_error-handling', '24_testing', '25_code-walk', '26_QUESTIONS-FROM-STUDENTS', '27_code-in-process', 'LICENSE.txt', 'README.md']"
phattranky/hapi-auth-firebase,,"['.babelrc', '.gitignore', 'README.md', 'lib', 'package.json', 'src']"
GogenkoSergei/Black_Jack,,"['.gitattributes', '.gitignore', 'Black_Jack.sln', 'Black_Jack']"
Prepros/Prepros.github.io,,"['.editorconfig', '.gitattributes', '.gitignore', 'Contributing.md', 'README.md', 'catalog.html', 'css', 'img', 'index.html', 'js']"
TsuchiyaKoichi/learnjs,,"['.gitignore', 'README.md', 'conf', 'public', 'services', 'sspa', 'support']"
tomfisher/librosa,,"['.coveragerc', '.gitattributes', '.gitignore', '.travis.yml', '.travis_dependencies.sh', 'AUTHORS.md', 'CODE_OF_CONDUCT.md', 'CONTRIBUTING.md', 'ISSUE_TEMPLATE.md', 'LICENSE.md', 'PULL_REQUEST_TEMPLATE.md', 'README.md', 'docs', 'examples', 'librosa', 'setup.cfg', 'setup.py', 'tests']"
andygoo/html5slider,,"['README.md', 'html5slider.js', 'index.html']"
Jokeway/OrgChart,,"['.gitignore', 'LICENSE', 'README.md', 'bower.json', 'dist', 'package.json']"
jeremy27041980/Dolphin,,"['.gitignore', 'README.md']"
slexx1234/config,,"['.gitignore', 'LICENSE', 'composer.json', 'phpunit.xml', 'readme.md', 'src', 'tests']"
0xMHND/attendance,,"['Makefile', 'attendance.enc', 'home.enc', 'lib', 'randomWeekG', 'v1', 'v2']"
taurus7517/i2cdevlib,,"['.gitignore', 'Arduino', 'EFM32', 'Jennic', 'MSP430', 'PIC18', 'README', 'RaspberryPi_bcm2835', 'dsPIC30F', 'nRF51']"
radoslav-takev/Java-Fundamentals,,['README.md']
ioscoderlijie/segmentAndList,,"['.DS_Store', '.gitignore', 'README.md', 'segmentAndList.gif', 'segmentAndList.mov', 'segmentAndListDemo.xcodeproj', 'segmentAndListDemo']"
WaleedMonawer/UploadToGithubTest,,['app']
BrightStar123/Hadi,,"['.gitignore', 'README.md', 'index.html']"
ToxicPie/hello-world,,"['README.md', 'helloworld.cpp']"
andrup/CarND-Traffic-Sign-Classifier-Project,,"['.gitignore', 'CODEOWNERS', 'README.md', 'Traffic_Sign_Classifier.html', 'Traffic_Sign_Classifier.ipynb', 'Traffic_Sign_Classifier_draft.ipynb', 'examples', 'model.jpg', 'own-trafficsigns', 'results.xlsx', 'signnames.csv', 'visualize_cnn.png', 'writeup_template.md']"
GL-GIT-HUB/ExplosionField,,"['.gitignore', 'README.md', 'app', 'build.gradle', 'explosionfield.gif', 'explosionfield', 'gradle.properties', 'gradle', 'gradlew', 'gradlew.bat', 'settings.gradle']"
deki0r/MISP,,"['.coveragerc', '.gitchangelog.rc', '.github', '.gitignore', '.gitmodules', '.travis.yml', 'AUTHORS', 'CONTRIBUTING.md', 'INSTALL', 'LICENSE', 'PyMISP', 'README.md', 'VERSION.json', 'app', 'build', 'code_of_conduct.md', 'format', 'tests', 'tools', 'travis']"
osmanarif/-explorative,,['README.md']
erdincay/RSSReader,,"['.gitattributes', '.gitignore', 'README.md', 'RSSReader.sln', 'RSSReader']"
hallos/homebridge-cmdtrigger,,"['.gitignore', 'README.md', 'index.js', 'package.json']"
FreyMo/Common,,"['.gitattributes', '.gitignore', 'Commands', 'Common.sln', 'Common.sln.DotSettings', 'Common', 'Messenger', 'README.md']"
lascuolaopensource/x-web,,"['.gitignore', 'dataviz', 'readme.md', 'scripts_data_cleaning']"
lonsharn/glog,,"['LICENSE', 'README', 'glog.go', 'glog_file.go', 'glog_test.go']"
jkatsiou/datasharing,,['README.md']
Ernestchang/eBooks,,"['README.md', 'android', 'javascript', 'mongodb', 'mysql', 'nodejs', 'server', 'web']"
massimiliano76/TorChat,,"['.gitattributes', '.gitignore', 'Makefile', 'README.markdown', 'README_DEBIAN.markdown', 'bin', 'src']"
goldcat/matplotlib,,"['.appveyor.yml', '.circleci', '.coveragerc', '.gitattributes', '.github', '.gitignore', '.mailmap', '.travis.yml', 'CONTRIBUTING.md', 'INSTALL.rst', 'LICENSE', 'MANIFEST.in', 'Makefile', 'README.rst', 'build_alllocal.cmd', 'ci', 'distribute_setup.py', 'doc-requirements.txt', 'doc', 'examples', 'extern', 'lib', 'matplotlibrc.template', 'pytest.ini', 'release', 'setup.cfg.template', 'setup.py', 'setup_external_compile.py', 'setup_tests_only.py', 'setupext.py', 'src', 'tests.py', 'tools', 'tox.ini', 'tutorials', 'unit', 'versioneer.py']"
k1m0n3/scripts,,"['Invoke-GPOLinks.ps1', 'Invoke-SMBAutoBrute.ps1', 'README.md', 'crEAP.py', 'mem_scraper.ps1', 'mkDirbList_Clone.py', 'powershell-persistence.ps1', 'proxyCannon.py', 'spin-up']"
DonLorenzoPL/FirstStep,,['README.md']
mullerhai/spiderWechat,,['pywechat.py']
deepikaonmission/BigData_Session16_Assignment1,,"['Assignment1.sc', 'README.md']"
shriganeshchoudhari/online-shopping,,"['.gitignore', 'README.md', 'onlineshopping', 'shoppingbackend']"
jibidus/intellij-settings,,"['DontShowAgainFeedbackService.xml', 'GrepConsole.xml', 'IntelliLang.xml', 'KeyPromoterXSettings.xml', 'KotlinRejectersInfoService.xml', 'ProjectCreationInfoService.xml', 'README.md', 'VisualVMLauncher.xml', '_mac', 'asciidoc.xml', 'baseRefactoring.xml', 'bitbucket-cloud-registry.xml', 'bitbucket-server-registry.xml', 'checkstyle-idea.xml', 'code.style.schemes.xml', 'codestyles', 'colors.scheme.xml', 'colors', 'databaseDrivers.xml', 'dbnavigator.xml', 'debugger.renderers.xml', 'debugger.xml', 'diff.xml', 'eclipseCodeFormatter.xml', 'editor-font.xml', 'editor.codeinsight.xml', 'editor.xml', 'equalsHashCodeTemplates.xml', 'file.template.settings.xml', 'fileTemplates', 'filetypes.xml', 'find.xml', 'gradle.run.settings.xml', 'grazie_global.xml', 'ide-features-trainer.xml', 'ide.general.xml', 'ignore.xml', 'ignored-suggested-plugins.xml', 'inspection', 'java.decompiler.xml', 'javaeeExternalResources.xml', 'keymaps', 'laf.xml', 'lombok-plugin.xml', 'lombok.xml', 'markdown.xml', 'mavenVersion.xml', 'parameter.hints.xml', 'plugin_ui.xml', 'project.default.xml', 'projectView.xml', 'rainbow-csv.xml', 'remote-servers.xml', 'scala.xml', 'settingsSyncPlugins.xml', 'shared-indexes.xml', 'stringManipulation.xml', 'templates.xml', 'templates', 'toStringTemplates.xml', 'ui.lnf.xml', 'usageView.xml', 'vcs.xml', 'visualizationTool.xml']"
ioscoderlijie/ZFDropDown,,"['.gitignore', 'LICENSE', 'README.md', 'ZFDropDownDemo', '_config.yml']"
victorvirtual/sedede,,"['LICENSE', 'README.md', 'index.html']"
billyjinshi/koolshare.github.io,,"['.gitignore', 'README.md', '_config.yml', 'donate', 'index.html']"
MarceloBarrera/redux-demo,,"['.babelrc', '.editorconfig', '.eslintrc', '.gitignore', 'package.json', 'src', 'tools', 'webpack.config.dev.js']"
kobiburnley/react-native-performance-tester,,"['.babelrc', '.buckconfig', '.flowconfig', '.gitattributes', '.gitignore', '.watchmanconfig', 'README.md', '__tests__', 'android', 'app.json', 'index.android.js', 'ios', 'package.json', 'src', 'yarn.lock']"
leereleere/css_themes,,"['China_Store.css', 'README.md', 'img']"
fan2/muduo,,"['.clang-tidy', '.github', '.gitignore', '.travis.yml', 'CMakeLists.txt', 'ChangeLog', 'ChangeLog2', 'License', 'README', 'build.sh', 'contrib', 'examples', 'muduo', 'patches', 'premake4.lua']"
gauravs84/Create-react-app,,['MyApp']
Rahul9718/hackthon_woman_education,,"['044dc9ac68b34bb7834e143c56622a37.webp', '1304545837-private-school-holds-rally-to-promote-education-for-women-hyderabad_680520.jpg', '1430567-afpx-1496920292.jpg', '23d3c53442b34f44a3af2d04135692f6.webp', '5843fd441210455f98fc114b1c11a68c.webp', '7433061-3d-telephone-Stock-Photo-phone-icon.jpg', 'Beti-Bachao-Beti-Padhao-Abhiyaan.jpg', 'Beti-Bachao-Beti-Padhao.jpg', 'Mail02-RoundedWhite-512.png', 'Telephone.png', 'Womens Education Project Logo.gif', 'camp_1495382409.webp', 'fba419_40b11a88b8e2461f97b81fd39ae69a8d-mv2.png', 'fba419_f170262f18e04d4caef007d8d4c3d651-mv2.png', 'final.jpg', 'girls-ed_opt.jpg', 'guradians-of-school-students-take-part-in-a-protest-rally-against-the-rape-of-a-6-year-old-school-girl-in-bengaluru-14059272443483.jpg', 'http-%2F%2Fo.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2F6204fad404a07be7950c8276edf686e9%2F204216454%2FRTX2LMHA.jpeg', 'index.html', 'index.js', 'main-banner.jpg', 'map.png', 'nepal+womens+education+thisworldexists+volunteer.jpg', 'phone.png', 'women2.jpg']"
Hanogrami/Hanogram,,"['.gitignore', 'LICENSE', 'README', 'README.md', 'TMessagesProj', 'Tools', 'build.gradle', 'gradle', 'gradlew', 'settings.gradle']"
edujtm/Comp-Programming,,"['README.md', 'cpp', 'kotlin']"
radoslav-takev/Web-Fundamentals,,['README.md']
wack17s/store-fe,,"['.eslintrc', '.gitignore', '.gitlab-ci.yml', 'config', 'package.json', 'public', 'scripts', 'src', 'yarn.lock']"
teebl/blog,,"['.gitignore', '404.md', 'CNAME', 'LICENSE', 'README.md', '_config.yml', '_includes', '_layouts', '_posts', '_sass', 'about.md', 'images', 'index.html', 'style.scss']"
fan2/mars,,"['.code.yaml', '.gitignore', 'CONTRIBUTING.md', 'Copyright Notice of Boost', 'LICENSE', 'README.md', 'codecc.sh', 'mars', 'memo', 'refs.md', 'samples']"
awilliams000/liquidprompt,,"['.mailmap', 'CHANGES', 'CONTRIBUTING.md', 'LICENSE', 'README.md', 'demo.png', 'dist', 'example.bashrc', 'liquid.ps1', 'liquid.theme', 'liquidprompt', 'liquidprompt.plugin.zsh', 'liquidpromptrc-dist', 'test.sh']"
mWater/development-guide,,['README.md']
feihugis/Leaflet.timeline,,"['.gitignore', '.npmignore', 'LICENSE', 'README.md', 'bower.json', 'dist', 'examples', 'gulpfile.js', 'package.json', 'src']"
tommytwoeyes/github-for-developers-7,,"['README.md', 'instructions']"
CMRWebDev/meal_calculator,,['package.json']
denismars/ios-good-practices,,"['LICENSE', 'README.md']"
panshimin/awesome-ios,,"['.gitignore', 'CONTRIBUTING.md', 'README.md', 'awesome_logo.png']"
hanzhong-yan/vimrc,,"['.gitignore', 'README.md', 'autoload', 'install_awesome_vimrc.sh', 'install_basic_vimrc.sh', 'sources_forked', 'sources_non_forked', 'temp_dirs', 'update_plugins.py', 'vimrcs']"
Serviox19/Bootstrap-Js-Lab,,"['css', 'home.html', 'js']"
drewwells/lat,,"['README.md', 'fanmetrics.go', 'main.go', 'metrics.go', 'reporter.go']"
chenxihuanyu/app,,"['README.md', 'text']"
niik/thisisanewrepo,,"['.gitattributes', '.gitignore', 'README.md']"
matugol/Advanced-Graphing-Calculator,,"['.gitignore', 'LICENSE', 'README.md', 'src']"
ibaena/lab5.1,,['README.md']
DQPHP/scws,,"['.gitignore', 'API.md', 'AUTHORS', 'COPYING', 'ChangeLog', 'Makefile.am', 'NEWS', 'README.md', 'acprep', 'cli', 'configure.ac', 'dev', 'etc', 'libscws', 'phpext', 'web', 'win32']"
pguillod/react-starter-kit,,"['.babelrc', '.csscomb.json', '.csslintrc', '.editorconfig', '.eslintrc', '.flowconfig', '.gitattributes', '.gitignore', '.jscsrc', '.travis.yml', 'CHANGELOG.md', 'LICENSE.txt', 'README.md', 'docs', 'package.json', 'preprocessor.js', 'src', 'tools']"
rmoorman/flask-security,,"['.gitignore', '.gitmodules', '.travis.yml', 'AUTHORS', 'CHANGES', 'LICENSE', 'MANIFEST.in', 'README.rst', 'artwork', 'docs', 'flask_security', 'requirements-dev.txt', 'requirements.txt', 'scripts', 'setup.cfg', 'setup.py', 'tests', 'tox.ini']"
stephanholly/simple-loops-001-prework-web,,"['.learn', '.rspec', 'LICENSE.md', 'README.md', 'simple_looping.rb', 'spec']"
empireofryan/ruby-object-attributes-lab-q-000,,"['.gitignore', '.learn', '.rspec', 'Gemfile', 'Gemfile.lock', 'README.md', 'lib', 'spec']"
alvarocesped/09Tarea,,"['LICENSE', 'Numericos9.pdf', 'README.md', 'Tarea9.py', 'Tarea9p2.py', 'Tarea9p3.py', 'data', 'eqs', 'p1.png', 'p2.png', 'p3.png']"
Ronmi/phpbrew,,"['.gitattributes', '.gitignore', '.hhconfig', '.travis.yml', 'CHANGES.md', 'CONTRIBUTORS.md', 'Doxyfile', 'HACKING.md', 'LICENSE', 'Makefile', 'README.ja.md', 'README.md', 'assets', 'bin', 'build.xml', 'completion', 'composer.json', 'composer.lock', 'flavors', 'package.ini', 'package.xml', 'phpbrew', 'phpdox.xml', 'phpmd.xml', 'phprelease.ini', 'phpunit.xml.dist', 'screenshots', 'scripts', 'sh', 'shell', 'src', 'tests', 'todo.md']"
dingweiwei1021/web,,"['LICENSE', 'README.md']"
aramonc/sandbox,,"['.gitignore', 'LICENSE', 'Vagrantfile', 'ansible']"
diegocaetanop/free-programming-books,,"['.editorconfig', '.travis.yml', 'CODE_OF_CONDUCT.md', 'CONTRIBUTING.md', 'LICENSE', 'README.md', 'free-courses-en.md', 'free-podcasts-screencasts-cs.md', 'free-podcasts-screencasts-en.md', 'free-podcasts-screencasts-ru.md', 'free-programming-books-az.md', 'free-programming-books-bg.md', 'free-programming-books-cs.md', 'free-programming-books-de.md', 'free-programming-books-es.md', 'free-programming-books-fa_IR.md', 'free-programming-books-fr.md', 'free-programming-books-gr.md', 'free-programming-books-hu.md', 'free-programming-books-id.md', 'free-programming-books-it.md', 'free-programming-books-ja.md', 'free-programming-books-ko.md', 'free-programming-books-pl.md', 'free-programming-books-pt_BR.md', 'free-programming-books-pt_PT.md', 'free-programming-books-ro.md', 'free-programming-books-ru.md', 'free-programming-books-se.md', 'free-programming-books-sk.md', 'free-programming-books-tr.md', 'free-programming-books-ua.md', 'free-programming-books-zh.md', 'free-programming-books.md', 'free-programming-interactive-tutorials-en.md', 'free-programming-interactive-tutorials-pt_BR.md', 'javascript-frameworks-resources-pt_BR.md', 'javascript-frameworks-resources.md', 'problem-sets-competitive-programming.md']"
TESScience/Simulation_Based_Analysis,,"['Cuda', 'LICENSE', 'README.md', 'Random']"
chyxion/mongo-c-driver,,"['.astylerc', '.gitignore', 'APACHE-2.0.txt', 'CONTRIBUTING.md', 'HISTORY.md', 'Makefile', 'README.md', 'RELEASE.md', 'SConstruct', 'check_int64.sh', 'docs', 'doxygenConfig', 'runtests.sh', 'src', 'test']"
igiu1988/the-swift-programming-language-in-chinese,,"['.gitignore', 'CNAME', 'README.md', 'Using Swift with Cocoa and ObjectiveC-tw', 'Using Swift with Cocoa and ObjectiveC', 'change_cdn.py', 'config.json', 'contributing.md', 'cover', 'googleb0a4f5a22e9cb82f.html', 'index.html', 'source-tw', 'source']"
jnickborys/ENSC488_Project,,"['.gitattributes', '.gitignore', '.vs', 'ConsoleApplication1', 'ENSC488_Project.sdf', 'ENSC488_Project.sln', 'ENSC488_Project.v12.suo', 'Floor Plan.cpp', 'README.md']"
doramart/DoraLayer,,"['LICENSE', 'README.md', 'css', 'index.html', 'js']"
aswini1405/HelloArduinoBLE,,"['.gradle', '.idea', 'HelloArduinoBLE.iml', 'LICENSE', 'README.md', 'app', 'build.gradle', 'build', 'gradle.properties', 'gradle', 'gradlew', 'gradlew.bat', 'local.properties', 'settings.gradle']"
denghongbin/DesignPattern,,['LICENSE']
Zarjagen/FoodMiner,,"['README.md', 'foodminer.db', 'node_modules', 'presentation', 'server.js', 'web']"
BlancRay/ICDM,,"['.classpath', '.github', '.project', 'LICENSE', 'README.md', 'paper', 'pom.xml', 'scriptfile', 'src']"
olehz/hyperleveldb-go,,"['.gitignore', 'LICENSE', 'README.md', 'batch.go', 'cache.go', 'comparator.go', 'conv.go', 'db.go', 'doc.go', 'env.go', 'examples', 'filterpolicy.go', 'iterator.go', 'options.go', 'rocksdb_test.go']"
niasand/android-training-course-in-chinese,,"['.gitignore', 'GLOSSARY.md', 'LICENSE', 'README.md', 'SUMMARY.md', 'android_training.jpg', 'animations', 'background-jobs', 'basics', 'best-background.md', 'best-performance.md', 'best-security.md', 'best-testing.md', 'best-ui.md', 'best-user-input.md', 'best-ux.md', 'book.json', 'building-connectivity.md', 'building-content-sharing.md', 'building-graphics.md', 'building-multimedia.md', 'building-tv.md', 'building-userinfo.md', 'building-wearables.md', 'config.json', 'connectivity', 'contacts-provider', 'content-sharing', 'cover.jpg', 'cover', 'cover_small.jpg', 'enterprise', 'gitbook', 'graphics', 'images', 'input', 'location', 'manifest.appcache', 'material', 'multimedia', 'node_modules', 'package.json', 'performance', 'search_index.json', 'security', 'testing', 'tv', 'ui', 'ux', 'wearables']"
LuisGea/WGANZ,,"['HWProblems', 'JuliaScripts', 'JupyterNoteBooks', 'Slides', 'index.ipynb']"
d4l3k/go-electrum,,"['.gitignore', 'LICENSE', 'README.md', 'electrum', 'example', 'irc', 'media', 'wallet']"
alex-B-Ly/nov24lab,,"['.gitignore', 'css', 'index.html', 'js']"
AlexanderAllenAttic/zillow,,['README.md']
lymons/MMParallaxPresenter,,"['Classes', 'LICENSE', 'MMParallaxPresenter.podspec', 'MMParallaxPresenterExample', 'README.md', 'mmParallaxPresenter.gif']"
Mcmartelle/dojo_mojo,,"['.DS_Store', '.htaccess', '.htaccess 2', '.htaccess 3', 'application', 'assets', 'composer.json', 'composer.lock', 'htaccess.zip', 'index.php', 'license.txt', 'models', 'sql', 'system', 'user_guide', 'vendor']"
khansaamia/csm10j-Lab13,,"['Program.java', 'README.md']"
SerenoShen/mybatis-3,,"['.gitattributes', '.gitignore', '.travis.yml', 'CONTRIBUTING.md', 'ICLA', 'LICENSE', 'NOTICE', 'README.md', 'license.txt', 'pom.xml', 'src', 'travis']"
won21kr/wp-calypso,,"['.dockerignore', '.editorconfig', '.esformatter', '.eslintignore', '.eslintrc', '.gitignore', '.jsfmtrc', '.npmrc', '.rtlcssrc', 'CONTRIBUTING.md', 'CREDITS.md', 'Dockerfile', 'LICENSE.md', 'Makefile', 'README.md', 'Vagrantfile', 'Vagrantfile-boot2docker', 'assets', 'bin', 'client', 'config', 'docs', 'index.js', 'jsconfig.json', 'package.json', 'public', 'server', 'shared', 'webpack.config.js', 'webpack.config.node.js']"
fbernardo/SwiftCSV,,"['.gitignore', 'LICENSE', 'README.md', 'SwiftCSV.podspec', 'SwiftCSV.xcodeproj', 'SwiftCSV', 'SwiftCSVTests']"
alexsicart/angular-meteor,,"['.bithoundrc', '.github', '.gitignore', '.npmignore', '.travis.yml', 'CHANGELOG.md', 'CONTRIBUTION.md', 'LICENSE', 'README.md', 'atmosphere-packages', 'examples', 'modules', 'package.json', 'rollup.config.js', 'run_tests.sh', 'tests', 'tsconfig.json', 'tslint.json', 'yarn.lock']"
wooparay/dbounce_server_nodejs,,"['.gitignore', 'LICENSE', 'README.md', 'docs']"
errnox/bottle-demo,,"['test.py', 'views']"
tizianofiorenzani/GameNet,,"['.gitignore', 'Docker', 'LICENSE', 'aws_install.sh', 'docker_flash.sh', 'docker_pong.sh', 'duel_dqn_cartpole.py', 'install_docker.sh', 'install_x2go.sh', 'q_learner', 'run_flash.sh', 'run_pong.sh', 'screen', 'start-docker.sh', 'test.py', 'universe-starter-agent']"
alfredo-dslv/myTODOs,,"['LICENSE', 'README']"
amandahagel/amandahagel.github.io,,"['FancyPlate.jpg', 'README.md', 'index.css', 'index.html', 'oly.css', 'oly.html', 'os.jpg', 'pastabig.jpg']"
dreyeslastiri/test,,['README.md']
phrourarchoi/phrourarchoi.github.io,,"['.gitmodules', 'BAM', 'LICENSE', 'README.md', 'iah']"
tkraak/sugarml,,"['.editorconfig', '.gitignore', '.npmignore', '.travis.yml', 'LICENSE.md', 'README.md', 'benchmark', 'contributing.md', 'lib', 'package.json', 'test', 'yarn.lock']"
abimbolaof/bootstrap-datepicker,,"['.editorconfig', '.github', '.gitignore', '.travis.yml', 'CHANGELOG.md', 'CODE_OF_CONDUCT.md', 'CONTRIBUTING.md', 'Gruntfile.js', 'LICENSE', 'README.md', 'bower.json', 'build', 'composer.json', 'dist', 'docs', 'grunt', 'js', 'less', 'package.json', 'tests', 'yarn.lock']"
mfestger/FestgAM,,['src']
jroberts1022/jroberts1022.github,,"['Plants.html', 'README.md', 'img', 'index.css', 'nwpL.html', 'nwpMatt.html', 'nwpm.css']"
beemoat/ProgrammingAssignment2,,"['README.md', 'cachematrix.R']"
arashpayan/skreens-typescript-demo,,"['.vscode', 'app.js', 'app.ts', 'index.html', 'iss.js', 'iss.ts', 'tsconfig.json']"
ArchiversAnonymous/pyweasyl,,"['LICENSE', 'README.md', 'dist', 'docs', 'setup.py', 'tests.py', 'weasyl.py']"
jareds/grails-taskd,,"['.dockerignore', '.gitignore', 'Dockerfile', 'LICENSE', 'README.md', 'build.gradle', 'devTaskdDocker', 'gradle.properties', 'gradle', 'gradlew', 'gradlew.bat', 'grails-app', 'grails-wrapper.jar', 'grailsw', 'grailsw.bat', 'settings.gradle', 'src']"
CapsLock-Studio/shipping-tracker,,"['.babelrc', '.buckconfig', '.eslintrc', '.flowconfig', '.gitattributes', '.gitignore', '.watchmanconfig', 'App', 'README.md', '__tests__', 'android', 'app.json', 'assets', 'index.android.js', 'index.ios.js', 'ios', 'package.json', 'yarn.lock']"
antlai/bodysnatcher,,"['.gitignore', 'LICENSE-2.0.txt', 'README.md', 'bodysnatcher', 'setup.py', 'utils']"
danpaulgo/rails-generators-readme-v-000,,"['.DS_Store', '.gitignore', '.learn', '.rspec', 'CONTRIBUTING.md', 'Gemfile', 'Gemfile.lock', 'LICENSE.md', 'README.md', 'Rakefile', 'app', 'bin', 'config.ru', 'config', 'db', 'public', 'spec', 'vendor']"
stephaniencarpenter/stephaniencarpenter.github.io,,"['FancyPlate.jpg', 'OS.jpg', 'README.md', 'index.css', 'index.html', 'olympia.css', 'olympia.html', 'pastabig.jpg']"
shrenik94/reflections,,"['lesson_1_reflections.txt', 'lesson_2_reflections.txt']"
simongong924/auto-reply-wechat,,"['1.jpg', '2.jpg', '3.jpg', 'LICENSE.md', 'README.md', 'auto-reply-wechat.py']"
harsharavala/udacity-data-analyst-nanodegree,,"['.gitignore', 'P1 -Test a Perceptual Phenomenon', 'P2 - Analyzing the NYC Subway Dataset', 'P3 - Data Wrangling with MongoDB', 'P4 - Explore and Summarize Data', 'P5 - Identifying Fraud from Enron Emails and Financial Data', 'P6 - Tell Stories with Data Visualization', 'P7 - Design and Analyze an A-B Test', 'README.md']"
RahlForge/ResourceDroidForSWLCG,,"['.gitattributes', '.gitignore', '.vs', 'ResourceDroidForSWLCG.sln', 'ResourceDroidForSWLCG']"
juancarlos-197/Bitcoin,,"['.gitignore', '.idea', 'app', 'build.gradle', 'gradle.properties', 'gradle', 'gradlew', 'gradlew.bat', 'settings.gradle']"
Yoshiki909/Yoshi,,['README.md']
M-Ooba/hello-warld,,['README.md']
laheadle/lispy,,"['.dir-locals.el', '.gitignore', '.travis.yml', 'Cask', 'Makefile', 'README.md', 'elpa.el', 'images', 'le-clojure.el', 'le-hy.el', 'le-julia.el', 'le-lisp.el', 'le-python.el', 'le-scheme.el', 'lispy-clojure.clj', 'lispy-inline.el', 'lispy-pkg.el', 'lispy-python.py', 'lispy-tags.el', 'lispy-test.el', 'lispy.el', 'lispytutor', 'targets']"
Anglin16/PocketSQL,,['.gitignore']
andr-ec/realEstate,,"['.DS_Store', 'Real Estate.xcodeproj', 'Real Estate']"
phongvdoan/phongvdoan.github.io,,"['.github', 'README.md', '_config.yml', 'blog', 'img', 'index.html', 'military.html', 'node_modules', 'package.json', 'portforio.html', 'styles', 'yarn.lock']"
open-isa/isa95,,"['XSD', 'readme.md', 'readme.txt']"
Mendistern/hello-world,,['README.md']
zeroc0d3lab/design-patterns-in-ruby,,"['README.md', 'adapter.md', 'builder.md', 'command.md', 'composite.md', 'convention_over_configuration.md', 'decorator.md', 'dsl.md', 'factory.md', 'interpreter.md', 'iterator.md', 'meta_programming.md', 'observer.md', 'proxy.md', 'singleton.md', 'strategy.md', 'template_method.md', 'translations']"
ryanc20/pokemon-radar-chart,,"['Pokemon.csv', 'README.md', 'plot_pokemon.py', 'poke_radar_chart.svg', 'pokemon.py']"
Ryandomized/cryptonote,,"['.gitattributes', '.gitignore', 'CMakeLists.txt', 'CTestCustom.cmake', 'Makefile', 'README.md', 'ReleaseNotes.txt', 'external', 'include', 'src', 'tests']"
Aliaspeng/datacamp-community,,"['Machine Learning in R', 'Python Finance Tutorial For Beginners', 'README.md', 'Scikit-Learn Tutorial Python Machine Learning', 'TensorFlow Tutorial For Beginners']"
roaminggamer/coronium-chatterbox-demo,,"['LICENSE', 'README.md', 'build.settings', 'config.lua', 'main.lua', 'scenes', 'ui']"
mshinners/mshinners.github.io,,"['.DS_Store', 'PNW.jpeg', 'README.md', 'Seattle.jpg', 'calendar.jpg', 'car_museum.jpg', 'glass_museum.jpg', 'index.html', 'index2.html', 'kids.jpg', 'park.jpg', 'ruston_way.jpg', 'style.css', 'style2.css', 'tacoma_dome.png', 'union_station.png']"
benLbishop/DistributedHack,,"['README.md', 'Voting.sol', 'index.html', 'index.js', 'package.json']"
jinsuk312/liri-node-app,,"['.gitignore', 'LICENSE', 'README.md', 'key.js', 'liri.js', 'log.txt', 'random.txt']"
linxie-search/linxie-search.github.io,,"['.gitignore', '_config.yml', '_includes', '_layouts', '_posts', '_sass', 'about.md', 'css', 'feed.xml', 'index.html']"
JerBushau/agricola_Piecekeeper,,"['.gitignore', 'README.md', 'cat_scripts.sh', 'imgs', 'index.html', 'main.css', 'notes.txt', 'src']"
