repo,path,number_of_headings,language,cve_count
BOTCAHX/Hoream-MD,SECURITY.md,3,EN,0
SauravMaheshkar/NeRF,.github/SECURITY.md,3,EN,0
MPNR21/Veracode_Github-Integration-Demo,SECURITY.md,3,EN,0
ethicaldev/goverment,SECURITY.md,3,EN,0
rajtilakjee/chatoverflow,SECURITY.md,1,EN,0
Cartrigger/QCXRSoonBot,SECURITY.md,4,EN,0
hydephp/develop,packages/realtime-compiler/SECURITY.md,3,EN,0
hydephp/develop,SECURITY.md,4,EN,0
hydephp/develop,packages/framework/SECURITY.md,4,EN,0
jillmnolan/Cobol-Essentials,SECURITY.md,3,EN,0
CodeYourFuture/.github,SECURITY.md,2,EN,0
NiftyLeague/NiftySmartContracts,.github/SECURITY.md,2,EN,0
hhm1/bocchidesu-py,SECURITY.md,3,EN,0
jymchng/sgpydantic_do_not_use,docs/security.md,7,EN,0
endknife/ConfigurationFile,SECURITY.md,3,EN,0
statisticsnorway/datadoc,SECURITY.md,2,EN,0
statisticsnorway/dapla-smoketests,SECURITY.md,2,EN,0
Tung1006/Post,SECURITY.md,3,EN,0
Khayn/2021-12-elearning-pythonana,SECURITY.md,3,EN,0
epythonlab/sage_web_dev,SECURITY.md,3,EN,0
jillmnolan/python-essentials,SECURITY.md,3,EN,0
pricemi115/homebridge-grumptech-timetriggers,pages/security.md,3,EN,0
pricemi115/homebridge-grumptech-timetriggers,SECURITY.md,3,EN,0
Nasz-Elektryk/basedbook-frontend,SECURITY.md,1,EN,0
abdolence/slack-morphism-rust,SECURITY.md,4,EN,0
nuevacreacion3/nuevacreacion3,SECURITY.md,4,EN,0
tmcybers/tmcybers.github.io,SECURITY.md,3,EN,0
QuSimulations/Tutorial_Python,SECURITY.md,3,EN,0
jakub-studio/website,SECURITY.md,3,EN,0
aptible/aptible-sass,SECURITY.md,3,EN,0
wret8385/testforno,SECURITY.md,3,EN,0
Dedal378/gallery-on-vuetify,SECURITY.md,3,EN,0
vacu9708/Web-development,Fundamental%20knowledge/Security.md,15,EN,0
volcanovol/tayeb,SECURITY.md,3,EN,0
hilmanski/freeStuffDev,content/stuff/escape-security.md,0,EN,0
hilmanski/freeStuffDev,content/stuff/GraphQL.Security.md,0,EN,0
Avarok-Cybersecurity/Citadel-Protocol,SECURITY.md,3,EN,0
AndroGR/nvdialog,SECURITY.md,3,EN,0
paule32/SWIPL_ZWAP,SECURITY.md,3,EN,0
sssanjaya/sssanjaya.github.io,SECURITY.md,3,EN,0
Hutoorg/comsci-test,SECURITY.md,2,EN,0
EtherealEngine/Universal-Volumetric,SECURITY.md,3,EN,0
