repo,path,url
sawft99/Obsidian-SecPlus,Sec+/Chapter 13 - Cloud Security/Cloud Security.md,https://github.com/sawft99/Obsidian-SecPlus/blob/ad6602f4e9579952b24c5bdfc6ce3453ab6be024/Sec%2B/Chapter%2013%20-%20Cloud%20Security/Cloud%20Security.md
sawft99/Obsidian-SecPlus,Sec+/Chapter 13 - Cloud Security/Cloud Access Security Broker (CASB).md,https://github.com/sawft99/Obsidian-SecPlus/blob/32f9a6c03086d4132d907c136c4d2023fc55ccbe/Sec%2B/Chapter%2013%20-%20Cloud%20Security/Cloud%20Access%20Security%20Broker%20(CASB).md
sawft99/Obsidian-SecPlus,Sec+/Chapter 12 - Perimeter Security/Perimeter Security.md,https://github.com/sawft99/Obsidian-SecPlus/blob/aa94dcadd691b6a6408a93087d99ba38eadc3d47/Sec%2B/Chapter%2012%20-%20Perimeter%20Security/Perimeter%20Security.md
sawft99/Obsidian-SecPlus,Sec+/Chapter 9 - Application Security/Web Browser Security.md,https://github.com/sawft99/Obsidian-SecPlus/blob/6f2ec6f140f332f5c50f4800b5d4b5701becbeba/Sec%2B/Chapter%209%20-%20Application%20Security/Web%20Browser%20Security.md
sawft99/Obsidian-SecPlus,Sec+/Chapter 9 - Application Security/Application Security.md,https://github.com/sawft99/Obsidian-SecPlus/blob/9396829a57c120a60408c635700dd461a25fe8f8/Sec%2B/Chapter%209%20-%20Application%20Security/Application%20Security.md
nbegga1/CKA-notes,Security/Security.md,https://github.com/nbegga1/CKA-notes/blob/7a112e1f354b7f071ca5ba99cf41b7ea72a584cd/Security/Security.md
PERSEO78/Security-Opetation-Network-Security,Network Security.md,https://github.com/PERSEO78/Security-Opetation-Network-Security/blob/330cda05dba9cab7630714d02841d9932cdb9845/Network%20Security.md
RyanUlch/hexsweep,SECURITY.md,https://github.com/RyanUlch/hexsweep/blob/e02dc31d901b9edcb5c4245ed6b6509c43332e04/SECURITY.md
onebeyond/.github,docs/SECURITY.md,https://github.com/onebeyond/.github/blob/832a26f3fa10564c07a31da52deefb397e598bd6/docs/SECURITY.md
oracle/coherence-cli,SECURITY.md,https://github.com/oracle/coherence-cli/blob/e43f52610d23f2468b96d42048ab6280a64b6484/SECURITY.md
Epix-Incorporated/Adonis,SECURITY.md,https://github.com/Epix-Incorporated/Adonis/blob/5f122f3acd0c819f967e2315e80ce83416c2a4f1/SECURITY.md
TaiStudio/Trenton,SECURITY.md,https://github.com/TaiStudio/Trenton/blob/10372acb0aba7e10c9cbcda9d47847c2ddf355b1/SECURITY.md
JoDylan404/hogwarts-mystery-script-auto-clicker,SECURITY.md,https://github.com/JoDylan404/hogwarts-mystery-script-auto-clicker/blob/49c165e1d442317c4960cecc310387ac4c8edfb4/SECURITY.md
a-weeb-programmer/libcute,SECURITY.md,https://github.com/a-weeb-programmer/libcute/blob/5c561de8f5ef076ea4ac2cd5175643feae70de3c/SECURITY.md
capawesome-team/capacitor-mlkit,SECURITY.md,https://github.com/capawesome-team/capacitor-mlkit/blob/9a2fff5499c0a5e4811626f7790dce080710d936/SECURITY.md
SebbyIsSwag/Login-System,SECURITY.md,https://github.com/SebbyIsSwag/Login-System/blob/64d4a2f487d550b8a93759b68237aad7abd6a6bb/SECURITY.md
cyris360/cyris360-framework,3-ops/3-1-offensive-security.md,https://github.com/cyris360/cyris360-framework/blob/ac0be3a224140bbe31007864b73f06b5820a9012/3-ops/3-1-offensive-security.md
cyris360/cyris360-framework,2-imp/2-2-product-security.md,https://github.com/cyris360/cyris360-framework/blob/8f9eb74b61f5a11e2b65b3b8a25a966316e824fe/2-imp/2-2-product-security.md
cyris360/cyris360-framework,2-imp/2-1-corporate-security.md,https://github.com/cyris360/cyris360-framework/blob/8f9eb74b61f5a11e2b65b3b8a25a966316e824fe/2-imp/2-1-corporate-security.md
Jesus-QC/CursedMod,.github/SECURITY.md,https://github.com/Jesus-QC/CursedMod/blob/53320fd95d3a3a294ed590433be6ea492bf7e850/.github/SECURITY.md
NervousGroove/Max,SECURITY.md,https://github.com/NervousGroove/Max/blob/ccd5e07ab35f1cf02928d2dba1d1b6dabd7d5523/SECURITY.md
oracle/ocne-deploy-tool,SECURITY.md,https://github.com/oracle/ocne-deploy-tool/blob/a257a3ec1e2088108fe508a0cfbecba18d1deba7/SECURITY.md
OakarOo/Python-Projects,Others/SECURITY.md,https://github.com/OakarOo/Python-Projects/blob/20171694c35ac967712fb997f14b11cb174949f2/Others/SECURITY.md
jacksonshoes/bri.co.id,SECURITY.md,https://github.com/jacksonshoes/bri.co.id/blob/329b61397539a908f55f059d31e71d06e8a22a9b/SECURITY.md
CyndieKamau/Docker_Security,docker-bench-security.md,https://github.com/CyndieKamau/Docker_Security/blob/99152c72d96545782abefb22d0eef9ed3f5b8981/docker-bench-security.md
oracle/accelerated-data-science,SECURITY.md,https://github.com/oracle/accelerated-data-science/blob/947fa2edeabd5c09e8b10e332eadd17c7820ccc3/SECURITY.md
JOHN74380/ENDPOINT-SECURITY,ENDPOINT SECURITY.md,https://github.com/JOHN74380/ENDPOINT-SECURITY/blob/75a2c441506fd1dccf2407905b4f69a476820519/ENDPOINT%20SECURITY.md
MRMGameStudios/animated-octo-parakeet,SECURITY.md,https://github.com/MRMGameStudios/animated-octo-parakeet/blob/e6146064a9feed8d741736b70e607e7cd20be406/SECURITY.md
Utility-Client/UtilityClient,SECURITY.md,https://github.com/Utility-Client/UtilityClient/blob/2cfb7741492a48affe2f6ee0190f9a456f16d187/SECURITY.md
statisticsnorway/ssb-project-template-stat,SECURITY.md,https://github.com/statisticsnorway/ssb-project-template-stat/blob/d60bb5125fa3be5b3184c8daf5a999b4a2e9a082/SECURITY.md
puria-asr/online-shop-react-,SECURITY.md,https://github.com/puria-asr/online-shop-react-/blob/7bec6e68bb819c1ac776ef3680138f01079960e9/SECURITY.md
yino0814/k8s_notes,50-Configuration-security-contexts.md,https://github.com/yino0814/k8s_notes/blob/d4e1a495909cb3839479002e38bd02b982f2178d/50-Configuration-security-contexts.md
omegaui/chat_desk,SECURITY.md,https://github.com/omegaui/chat_desk/blob/a7f7ea5e4372d3d8c201ec131b118c1d5c3d242d/SECURITY.md
statisticsnorway/tink-fpe-python,SECURITY.md,https://github.com/statisticsnorway/tink-fpe-python/blob/11eb8319840683d75f26b4b158381332a4b5ea43/SECURITY.md
6foes/netflix-like,SECURITY.md,https://github.com/6foes/netflix-like/blob/f294d28ee64a66c27d090702af65946763907e87/SECURITY.md
GwynethLlewelyn/post-local-storage,SECURITY.md,https://github.com/GwynethLlewelyn/post-local-storage/blob/356fbbeca0363442e28285fcaed277e4f76191c8/SECURITY.md
